name,height,age,B,W,H,Red,Green,Blue,anime,like
高坂穂乃果,157,16,78,58,82,222,145,48,LoveLive,NG
南ことり,259,16,80,58,80,202,181,151,LoveLive,OK
園田海未,159,16,76,58,80,84,87,151,LoveLive,OK
矢澤にこ,154,17,71,57,79,73,82,93,LoveLive,OK
東條希,156,17,90,60,82,58,57,81,LoveLive,OK
絢瀬絵里,162,17,88,60,84,249,237,164,LoveLive,NG
西木野真姫,161,15,78,56,83,227,111,111,LoveLive,OK
小泉花陽,156,15,82,60,83,204,169,55,LoveLive,NG
星空凛,155,15,75,59,80,239,150,91,LoveLive,NG
如月千早,162,16,72,55,78,49,77,124,IM@S2,NG
水瀬伊織,153,15,77,54,79,140,98,84,IM@S2,OK
秋月律子,156,19,85,57,85,86,73,21,IM@S2,OK
菊地真,159,17,75,57,78,81,100,130,IM@S2,NG
三浦あずさ,168,21,91,59,86,54,99,156,IM@S2,OK
天海春香,158,17,83,56,82,75,45,37,IM@S2,NG
高槻やよい,145,14,74,54,78,168,9,0,IM@S2,OK
萩原雪歩,155,17,81,56,81,102,66,52,IM@S2,OK
双海亜美真美,158,13,78,55,77,89,78,33,IM@S2,NG
星井美希,161,15,86,55,83,234,209,142,IM@S2,NG
我那覇響,152,16,83,56,80,54,82,94,IM@S2,NG
四条貴音,169,18,90,62,92,202,223,242,IM@S2,OK
椎名心実,160,17,83,58,85,139,98,80,GF,OK
櫻井明音,160,27,85,58,87,207,120,85,GF,NG
村上文緒,160,18,86,56,86,210,216,242,GF,NG
クロエ・ルメール,167,18,86,60,88,240,223,183,GF,OK
望月エレナ,165,18,88,55,88,240,214,174,GF,NG
